time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
14.1,3,99,22.18884277,30.26445198,-79.78282224,40.45904373,265.455431,-0.00284475,0.006370416,-0.726367295,0.687271357,-0.031822997,-0.030458744,0.254889103,0.000364452,0.100516893,-0.029212508,-0.088792838,0.077638206,-10.69264422
14.2,3,102,22.27898979,28.76156616,-79.7828223,40.45904377,265.5385828,0.001555118,0.006532163,-0.725525022,0.688163042,-0.019139014,-0.034118421,0.580798602,0.032644209,0.005469772,0.032737374,-0.046040615,0.021650047,-11.41631434
14.4,3.200000048,101,22.07991409,32.61022568,-79.78282229,40.45904371,265.6125407,0.000784481,0.008334818,-0.725657463,0.688005209,-0.012667485,-0.040807322,0.742356307,0.061423756,-0.015707999,-0.031804897,-0.084692387,-0.051693032,-11.63686313
14.5,3.200000048,105,21.99227142,30.94035149,-79.7828223,40.45904362,265.8149874,-0.007096029,0.011060831,-0.725806713,0.687773228,-0.003145178,-0.044853831,1.154353877,-0.092382856,-0.034893118,-0.040201303,-0.163836388,0.009315679,-11.99618272
14.7,3.200000048,106,21.91088676,33.73937607,-79.78282233,40.45904361,265.940962,-0.009708444,0.010999154,-0.725937188,0.687604606,-0.001945052,-0.041233255,1.36205249,-0.149298802,-0.053383015,-0.024494944,0.013051534,-0.020646009,-11.94426763
14.8,3.200000048,108,21.97474289,31.21866417,-79.78282225,40.45904348,266.2676361,-0.014232155,0.013767032,-0.722975492,0.690589905,0.017489326,-0.013622427,1.79798576,0.026249211,-0.061879158,-0.028901121,-0.044107485,-0.071697142,-11.99682474
15,3.099999905,109,21.96347427,31.26637459,-79.78282217,40.45904346,266.4574729,-0.009351046,0.015219511,-0.720353782,0.693376839,0.014852145,0.006868374,1.998048551,0.038114209,0.050832421,-0.134849206,0.07660736,0.045345628,-11.92001688
15.1,3.099999905,103,21.86330986,33.53263092,-79.78282173,40.45904332,266.9145757,0.005246946,0.022081314,-0.715945303,0.697787464,0.017024773,0.105707712,2.366059987,0.071387075,-0.089625143,-0.07024277,0.187119672,0.015093011,-11.6838572
15.3,3.299999952,96,22.34409714,24.28471756,-79.78282152,40.45904322,267.1615394,0.005887614,0.022201912,-0.713353395,0.700428069,0.034284899,0.134631556,2.590964413,-0.012026982,-0.097672805,-0.106456406,-0.024545305,0.057005181,-11.93047755
15.4,3.400000095,91,22.32155991,23.25893784,-79.78282088,40.45904276,267.7333386,0.007664158,0.016779719,-0.70871067,0.705258131,0.223694383,0.176514027,2.822093922,-0.13263008,0.078951046,-0.123541787,-0.0150881,0.606003164,-10.58660262
15.6,3.299999952,79,22.34910583,26.08976936,-79.78282019,40.45904234,268.0834412,-0.001872361,0.003935871,-0.713707566,0.700430214,0.307579232,0.216311392,2.847575505,-0.445974976,0.0621971,0.160592645,0.110905839,0.566474232,-9.8272411
15.7,3.299999952,73,22.11497116,28.62638664,-79.78281956,40.4590416,268.6301703,-0.041623939,-0.025442818,-0.732338011,0.679191589,0.558292424,0.307865371,2.7100919,-0.236831069,-0.055428557,0.335310727,0.045888839,0.629273182,-9.482761161
15.9,3.299999952,54,22.06113434,30.27240372,-79.78281874,40.45904113,268.9976482,-0.042480513,-0.033053722,-0.740251124,0.670172572,0.620012783,0.307036096,2.753819006,0.037340894,0.24847804,0.112127081,-0.065202494,0.670633535,-9.878042879
16,3.200000048,43,22.00604248,29.51698494,-79.78281743,40.45904046,269.6117196,-0.00794623,-0.035370007,-0.748259902,0.662414491,0.52291322,0.435485316,2.850016182,0.446286201,0.220309496,0.022771182,0.181893595,0.38911371,-10.31300907
16.2,3.200000048,24,21.97474289,31.04372597,-79.78281701,40.45904021,269.9033451,0.011608671,-0.027660968,-0.747894883,0.663139105,0.393738323,0.494311911,2.905687387,0.34318763,0.164828897,-0.016421933,0.301450279,0.240508295,-10.28051492
16.3,3.400000095,22,22.03358841,29.62830925,-79.78281603,40.45903975,270.5042982,0.010252228,-0.019099079,-0.742949307,0.668996632,0.216900477,0.521052869,3.045558152,-0.117914684,-0.131113261,-0.121299237,0.311104361,0.095355077,-10.50539766
16.5,3.599999905,8,21.83826828,33.40540314,-79.78281566,40.45903953,270.813982,0.001164064,-0.017822178,-0.739166737,0.673285663,0.243509789,0.459735994,3.099426644,-0.086625181,-0.012689061,-0.199406937,0.214569517,0.277143075,-10.35684564
16.6,3.799999952,2,21.84703255,32.8328743,-79.78281482,40.45903909,271.4487743,-0.000710563,-0.021830564,-0.732228637,0.680708587,0.300771324,0.411775729,3.196199801,0.035562091,0.064773709,-0.072181098,0.280807324,0.225268661,-10.38497893
16.81,4,343,22.09368706,28.83313179,-79.78281444,40.45903889,271.7722311,0.002726984,-0.023871195,-0.730303228,0.682700515,0.296261848,0.431511239,3.224854976,0.078082316,0.067992724,-0.101559266,0.426367417,0.248062313,-10.17184325
16.91,4,341,22.08993149,29.19891357,-79.78281355,40.45903856,272.4200582,0.016246773,-0.027370578,-0.728656709,0.684139132,0.268372802,0.471827381,3.138320614,0.153795332,0.079513274,-0.096517965,0.424864061,0.22630212,-9.501657608
17.1,4.099999905,331,22.02857971,28.21289444,-79.78281284,40.45903842,273.0292368,0.022713918,-0.027381869,-0.729035079,0.683551252,0.189040847,0.471891194,3.07201531,-0.095415413,0.085831262,-0.004312524,0.447385855,0.227492923,-9.53329046
17.3,4.300000191,322,21.92465973,31.2027607,-79.78281255,40.45903824,273.3374939,0.019180885,-0.026648488,-0.729738832,0.682937264,0.20769645,0.460450793,3.047384309,0.002288786,-0.058982886,0.108359359,0.331724348,0.113455279,-9.559692392
17.4,4.400000095,319,21.80321121,32.82492447,-79.78281232,40.45903811,273.8522987,0.016247272,-0.027097182,-0.731659472,0.680937827,0.197033878,0.397185689,2.980127621,-0.117301121,0.035804287,0.088133514,0.379497087,0.026000533,-9.796501703
17.6,4.699999809,318,21.99978256,29.07963753,-79.78281217,40.45903836,274.1684418,0.014252567,-0.033391897,-0.732254863,0.680062354,0.15389393,0.385315195,2.998746045,-0.094856195,0.031292651,-0.100132257,0.597910983,0.060922172,-10.15837477
17.7,4.800000191,319,21.90838242,29.73963356,-79.78281177,40.45903815,274.7797556,0.020173097,-0.050418057,-0.727164209,0.684312284,0.218709586,0.400018095,3.036552584,-0.001412726,0.136409342,-0.018620882,0.603209438,0.202067786,-9.823316449
